Anomalia: ['143.75', '0.18', '-0.17', '1.00']
Anomalia: ['145.00', '0.22', '0.12', '1.00']
Anomalia: ['146.25', '-0.04', '0.25', '1.00']
Anomalia: ['147.50', '-0.25', '0.04', '1.00']
Anomalia: ['148.75', '-0.11', '-0.22', '1.00']
Anomalia: ['150.00', '0.17', '-0.18', '1.00']
Anomalia: ['151.25', '0.22', '0.11', '1.00']
Anomalia: ['151.75', '0.14', '0.20', '1.00']
['151.75', '0.14', '0.20', '1.00']
Anomalia: ['152.25', '0.03', '0.25', '1.00']
['152.25', '0.03', '0.25', '1.00']
Anomalia: ['152.75', '-0.09', '0.23', '1.00']
['152.75', '-0.09', '0.23', '1.00']
Anomalia: ['153.25', '-0.19', '0.16', '1.00']
['153.25', '-0.19', '0.16', '1.00']
Anomalia: ['153.75', '-0.25', '0.05', '1.00']
['153.75', '-0.25', '0.05', '1.00']
Anomalia: ['154.25', '-0.24', '-0.08', '1.00']
['154.25', '-0.24', '-0.08', '1.00']
Anomalia: ['154.75', '-0.17', '-0.18', '1.00']
['154.75', '-0.17', '-0.18', '1.00']
Anomalia: ['155.25', '-0.06', '-0.24', '1.00']
['155.25', '-0.06', '-0.24', '1.00']
Anomalia: ['155.75', '0.06', '-0.24', '1.00']
['155.75', '0.06', '-0.24', '1.00']
Anomalia: ['156.25', '0.17', '-0.18', '1.00']
['156.25', '0.17', '-0.18', '1.00']
Anomalia: ['156.75', '0.24', '-0.08', '1.00']
['156.75', '0.24', '-0.08', '1.00']
Anomalia: ['157.25', '0.25', '0.04', '1.00']
['157.25', '0.25', '0.04', '1.00']
Anomalia: ['157.75', '0.20', '0.16', '1.00']
['157.75', '0.20', '0.16', '1.00']
Anomalia: ['158.25', '0.10', '0.23', '1.00']
['158.25', '0.10', '0.23', '1.00']
Anomalia: ['158.75', '-0.02', '0.25', '1.00']
['158.75', '-0.02', '0.25', '1.00']
['159.25', '-0.14', '0.21', '1.00']
Anomalia: ['159.75', '-0.22', '0.11', '1.00']
['159.75', '-0.22', '0.11', '1.00']
Anomalia: ['160.25', '-0.25', '-0.01', '1.00']
['160.25', '-0.25', '-0.01', '1.00']
Anomalia: ['160.75', '-0.22', '-0.13', '1.00']
['160.75', '-0.22', '-0.13', '1.00']
Anomalia: ['161.25', '-0.13', '-0.21', '1.00']
['161.25', '-0.13', '-0.21', '1.00']
Anomalia: ['161.75', '-0.01', '-0.25', '1.00']
['161.75', '-0.01', '-0.25', '1.00']
Anomalia: ['162.25', '0.11', '-0.22', '1.00']
['162.25', '0.11', '-0.22', '1.00']
Anomalia: ['162.75', '0.20', '-0.14', '1.00']
['162.75', '0.20', '-0.14', '1.00']
Anomalia: ['163.25', '0.25', '-0.03', '1.00']
['163.25', '0.25', '-0.03', '1.00']
Anomalia: ['163.75', '0.23', '0.09', '1.00']
['163.75', '0.23', '0.09', '1.00']
Anomalia: ['164.25', '0.16', '0.19', '1.00']
['164.25', '0.16', '0.19', '1.00']
Anomalia: ['164.75', '0.05', '0.25', '1.00']
['164.75', '0.05', '0.25', '1.00']
Anomalia: ['165.25', '-0.08', '0.24', '1.00']
['165.25', '-0.08', '0.24', '1.00']
Anomalia: ['165.75', '-0.18', '0.17', '1.00']
['165.75', '-0.18', '0.17', '1.00']
Anomalia: ['166.25', '-0.24', '0.06', '1.00']
['166.25', '-0.24', '0.06', '1.00']
Anomalia: ['166.75', '-0.24', '-0.06', '1.00']
['166.75', '-0.24', '-0.06', '1.00']
Anomalia: ['167.25', '-0.18', '-0.17', '1.00']
['167.25', '-0.18', '-0.17', '1.00']
Anomalia: ['167.75', '-0.08', '-0.24', '1.00']
['167.75', '-0.08', '-0.24', '1.00']
Anomalia: ['168.25', '0.04', '-0.25', '1.00']
['168.25', '0.04', '-0.25', '1.00']
['168.75', '0.16', '-0.20', '1.00']
Anomalia: ['169.25', '0.23', '-0.10', '1.00']
['169.25', '0.23', '-0.10', '1.00']
Anomalia: ['169.75', '0.25', '0.03', '1.00']
['169.75', '0.25', '0.03', '1.00']
Anomalia: ['170.25', '0.21', '0.14', '1.00']
['170.25', '0.21', '0.14', '1.00']
Anomalia: ['170.75', '0.11', '0.22', '1.00']
['170.75', '0.11', '0.22', '1.00']
Anomalia: ['171.25', '-0.01', '0.25', '1.00']
['171.25', '-0.01', '0.25', '1.00']
Anomalia: ['171.75', '-0.13', '0.22', '1.00']
['171.75', '-0.13', '0.22', '1.00']
Anomalia: ['172.25', '-0.21', '0.13', '1.00']
['172.25', '-0.21', '0.13', '1.00']
Anomalia: ['172.75', '-0.25', '0.01', '1.00']
['172.75', '-0.25', '0.01', '1.00']
Anomalia: ['173.25', '-0.22', '-0.11', '1.00']
['173.25', '-0.22', '-0.11', '1.00']
Anomalia: ['173.75', '-0.14', '-0.21', '1.00']
['173.75', '-0.14', '-0.21', '1.00']
Anomalia: ['174.25', '-0.03', '-0.25', '1.00']
['174.25', '-0.03', '-0.25', '1.00']
Anomalia: ['174.75', '0.10', '-0.23', '1.00']
['174.75', '0.10', '-0.23', '1.00']
Anomalia: ['175.25', '0.19', '-0.16', '1.00']
['175.25', '0.19', '-0.16', '1.00']
Anomalia: ['175.75', '0.25', '-0.04', '1.00']
['175.75', '0.25', '-0.04', '1.00']
Anomalia: ['176.25', '0.24', '0.08', '1.00']
['176.25', '0.24', '0.08', '1.00']
Anomalia: ['176.75', '0.17', '0.18', '1.00']
['176.75', '0.17', '0.18', '1.00']
Anomalia: ['177.25', '0.06', '0.24', '1.00']
['177.25', '0.06', '0.24', '1.00']
Anomalia: ['177.75', '-0.06', '0.24', '1.00']
['177.75', '-0.06', '0.24', '1.00']
Anomalia: ['178.25', '-0.17', '0.18', '1.00']
['178.25', '-0.17', '0.18', '1.00']
Anomalia: ['178.75', '-0.24', '0.08', '1.00']
['178.75', '-0.24', '0.08', '1.00']
Anomalia: ['179.25', '-0.25', '-0.04', '1.00']
['179.25', '-0.25', '-0.04', '1.00']
Anomalia: ['179.75', '-0.19', '-0.16', '1.00']
['179.75', '-0.19', '-0.16', '1.00']
Anomalia: ['180.25', '-0.10', '-0.23', '1.00']
['180.25', '-0.10', '-0.23', '1.00']
Anomalia: ['180.75', '0.03', '-0.25', '1.00']
['180.75', '0.03', '-0.25', '1.00']
Anomalia: ['181.25', '0.14', '-0.21', '1.00']
['181.25', '0.14', '-0.21', '1.00']
Anomalia: ['181.75', '0.22', '-0.11', '1.00']
['181.75', '0.22', '-0.11', '1.00']
Anomalia: ['182.25', '0.25', '0.01', '1.00']
['182.25', '0.25', '0.01', '1.00']
Anomalia: ['182.75', '0.21', '0.13', '1.00']
['182.75', '0.21', '0.13', '1.00']
Anomalia: ['183.25', '0.13', '0.22', '1.00']
['183.25', '0.13', '0.22', '1.00']
Anomalia: ['183.75', '0.01', '0.25', '1.00']
['183.75', '0.01', '0.25', '1.00']
Anomalia: ['184.25', '-0.11', '0.22', '1.00']
['184.25', '-0.11', '0.22', '1.00']
Anomalia: ['184.75', '-0.21', '0.14', '1.00']
['184.75', '-0.21', '0.14', '1.00']
Anomalia: ['185.25', '-0.25', '0.03', '1.00']
['185.25', '-0.25', '0.03', '1.00']
Anomalia: ['185.75', '-0.23', '-0.10', '1.00']
['185.75', '-0.23', '-0.10', '1.00']
Anomalia: ['186.25', '-0.16', '-0.20', '1.00']
['186.25', '-0.16', '-0.20', '1.00']
Anomalia: ['186.75', '-0.04', '-0.25', '1.00']
['186.75', '-0.04', '-0.25', '1.00']
['187.25', '0.08', '-0.24', '1.00']
Anomalia: ['187.75', '0.18', '-0.17', '1.00']
['187.75', '0.18', '-0.17', '1.00']
Anomalia: ['188.25', '0.24', '-0.06', '1.00']
['188.25', '0.24', '-0.06', '1.00']
Anomalia: ['188.75', '0.24', '0.06', '1.00']
['188.75', '0.24', '0.06', '1.00']
Anomalia: ['189.25', '0.18', '0.17', '1.00']
['189.25', '0.18', '0.17', '1.00']
Anomalia: ['189.75', '0.08', '0.24', '1.00']
['189.75', '0.08', '0.24', '1.00']
Anomalia: ['190.25', '-0.05', '0.25', '1.00']
['190.25', '-0.05', '0.25', '1.00']
Anomalia: ['190.75', '-0.16', '0.19', '1.00']
